threads = 2; r = 1; it = 100; time = 13.630734; true time = 13.630734; total count = 1599600000; true count = 1599600000; count 1 = 0, count 2 = 1599600000, count 3 = 0
threads = 2; r = 2; it = 100; time = 13.115178; true time = 13.115178; total count = 1599600000; true count = 1599600000; count 1 = 300000, count 2 = 1599000000, count 3 = 300000
threads = 2; r = 3; it = 102; time = 13.197335; true time = 12.938564; total count = 1631592000; true count = 1599600000; count 1 = 612000, count 2 = 1630368000, count 3 = 612000
threads = 2; r = 4; it = 100; time = 16.183875; true time = 16.183875; total count = 1599600000; true count = 1599600000; count 1 = 900000, count 2 = 1597800000, count 3 = 900000
threads = 2; r = 5; it = 100; time = 15.674346; true time = 15.674346; total count = 1599600000; true count = 1599600000; count 1 = 1200000, count 2 = 1597200000, count 3 = 1200000
threads = 2; r = 6; it = 102; time = 18.489974; true time = 18.127425; total count = 1631592000; true count = 1599600000; count 1 = 1530000, count 2 = 1628532000, count 3 = 1530000
threads = 2; r = 7; it = 105; time = 18.190784; true time = 17.324556; total count = 1679580000; true count = 1599600000; count 1 = 1890000, count 2 = 1675800000, count 3 = 1890000
threads = 2; r = 8; it = 104; time = 17.433930; true time = 16.763394; total count = 1663584000; true count = 1599600000; count 1 = 2184000, count 2 = 1659216000, count 3 = 2184000
threads = 2; r = 9; it = 108; time = 17.196167; true time = 15.922377; total count = 1727568000; true count = 1599600000; count 1 = 2592000, count 2 = 1722384000, count 3 = 2592000
threads = 2; r = 10; it = 100; time = 16.955161; true time = 16.955161; total count = 1599600000; true count = 1599600000; count 1 = 2700000, count 2 = 1594200000, count 3 = 2700000
threads = 2; r = 11; it = 110; time = 18.196677; true time = 16.542433; total count = 1759560000; true count = 1599600000; count 1 = 3300000, count 2 = 1752960000, count 3 = 3300000
threads = 2; r = 12; it = 108; time = 18.585270; true time = 17.208584; total count = 1727568000; true count = 1599600000; count 1 = 3564000, count 2 = 1720440000, count 3 = 3564000
threads = 2; r = 13; it = 104; time = 17.612775; true time = 16.935361; total count = 1663584000; true count = 1599600000; count 1 = 3744000, count 2 = 1656096000, count 3 = 3744000
threads = 2; r = 14; it = 112; time = 19.087674; true time = 17.042566; total count = 1791552000; true count = 1599600000; count 1 = 4368000, count 2 = 1782816000, count 3 = 4368000
threads = 2; r = 15; it = 105; time = 16.280518; true time = 15.505255; total count = 1679580000; true count = 1599600000; count 1 = 4410000, count 2 = 1670760000, count 3 = 4410000
threads = 2; r = 16; it = 112; time = 17.696813; true time = 15.800726; total count = 1791552000; true count = 1599600000; count 1 = 5040000, count 2 = 1781472000, count 3 = 5040000
threads = 2; r = 17; it = 102; time = 17.715610; true time = 17.368245; total count = 1631592000; true count = 1599600000; count 1 = 4896000, count 2 = 1621800000, count 3 = 4896000
threads = 2; r = 18; it = 108; time = 18.799834; true time = 17.407253; total count = 1727568000; true count = 1599600000; count 1 = 5508000, count 2 = 1716552000, count 3 = 5508000
threads = 2; r = 19; it = 114; time = 20.038340; true time = 17.577491; total count = 1823544000; true count = 1599600000; count 1 = 6156000, count 2 = 1811232000, count 3 = 6156000
threads = 2; r = 20; it = 100; time = 16.994194; true time = 16.994194; total count = 1599600000; true count = 1599600000; count 1 = 5700000, count 2 = 1588200000, count 3 = 5700000

threads = 2; r = 1; it = 100; time = 17.985903; true time = 17.985903; total count = 1599600000; true count = 1599600000; count 1 = 0, count 2 = 1599600000, count 3 = 0
threads = 2; r = 2; it = 100; time = 17.536319; true time = 17.536319; total count = 1599600000; true count = 1599600000; count 1 = 300000, count 2 = 1599000000, count 3 = 300000
threads = 2; r = 3; it = 102; time = 17.007926; true time = 16.674437; total count = 1631592000; true count = 1599600000; count 1 = 612000, count 2 = 1630368000, count 3 = 612000
threads = 2; r = 4; it = 100; time = 16.615550; true time = 16.615550; total count = 1599600000; true count = 1599600000; count 1 = 900000, count 2 = 1597800000, count 3 = 900000
threads = 2; r = 5; it = 100; time = 17.714416; true time = 17.714416; total count = 1599600000; true count = 1599600000; count 1 = 1200000, count 2 = 1597200000, count 3 = 1200000
threads = 2; r = 6; it = 102; time = 16.810262; true time = 16.480649; total count = 1631592000; true count = 1599600000; count 1 = 1530000, count 2 = 1628532000, count 3 = 1530000
threads = 2; r = 7; it = 105; time = 17.871813; true time = 17.020774; total count = 1679580000; true count = 1599600000; count 1 = 1890000, count 2 = 1675800000, count 3 = 1890000
threads = 2; r = 8; it = 104; time = 16.442937; true time = 15.810516; total count = 1663584000; true count = 1599600000; count 1 = 2184000, count 2 = 1659216000, count 3 = 2184000
threads = 2; r = 9; it = 108; time = 17.343635; true time = 16.058921; total count = 1727568000; true count = 1599600000; count 1 = 2592000, count 2 = 1722384000, count 3 = 2592000
threads = 2; r = 10; it = 100; time = 17.300965; true time = 17.300965; total count = 1599600000; true count = 1599600000; count 1 = 2700000, count 2 = 1594200000, count 3 = 2700000
threads = 2; r = 11; it = 110; time = 16.124918; true time = 14.659016; total count = 1759560000; true count = 1599600000; count 1 = 3300000, count 2 = 1752960000, count 3 = 3300000
threads = 2; r = 12; it = 108; time = 19.100007; true time = 17.685192; total count = 1727568000; true count = 1599600000; count 1 = 3564000, count 2 = 1720440000, count 3 = 3564000
threads = 2; r = 13; it = 104; time = 18.967763; true time = 18.238233; total count = 1663584000; true count = 1599600000; count 1 = 3744000, count 2 = 1656096000, count 3 = 3744000
threads = 2; r = 14; it = 112; time = 17.108460; true time = 15.275411; total count = 1791552000; true count = 1599600000; count 1 = 4368000, count 2 = 1782816000, count 3 = 4368000
threads = 2; r = 15; it = 105; time = 18.927639; true time = 18.026323; total count = 1679580000; true count = 1599600000; count 1 = 4410000, count 2 = 1670760000, count 3 = 4410000
threads = 2; r = 16; it = 112; time = 19.042112; true time = 17.001886; total count = 1791552000; true count = 1599600000; count 1 = 5040000, count 2 = 1781472000, count 3 = 5040000
threads = 2; r = 17; it = 102; time = 17.548191; true time = 17.204109; total count = 1631592000; true count = 1599600000; count 1 = 4896000, count 2 = 1621800000, count 3 = 4896000
threads = 2; r = 18; it = 108; time = 19.829328; true time = 18.360489; total count = 1727568000; true count = 1599600000; count 1 = 5508000, count 2 = 1716552000, count 3 = 5508000
threads = 2; r = 19; it = 114; time = 18.616762; true time = 16.330493; total count = 1823544000; true count = 1599600000; count 1 = 6156000, count 2 = 1811232000, count 3 = 6156000
threads = 2; r = 20; it = 100; time = 17.015465; true time = 17.015465; total count = 1599600000; true count = 1599600000; count 1 = 5700000, count 2 = 1588200000, count 3 = 5700000

=======================================

threads = 4; r = 1; it = 100; time = 60.529061; true time = 60.529061; total count = 1599600000; true count = 1599600000; count 1 = 0, count 2 = 1599600000, count 3 = 0
threads = 4; r = 2; it = 100; time = 60.365753; true time = 60.365753; total count = 1599600000; true count = 1599600000; count 1 = 700000, count 2 = 1598200000, count 3 = 700000
threads = 4; r = 3; it = 102; time = 61.973710; true time = 60.758539; total count = 1631592000; true count = 1599600000; count 1 = 1428000, count 2 = 1628736000, count 3 = 1428000
threads = 4; r = 4; it = 100; time = 60.202277; true time = 60.202277; total count = 1599600000; true count = 1599600000; count 1 = 2100000, count 2 = 1595400000, count 3 = 2100000
threads = 4; r = 5; it = 100; time = 60.526152; true time = 60.526152; total count = 1599600000; true count = 1599600000; count 1 = 2800000, count 2 = 1594000000, count 3 = 2800000
threads = 4; r = 6; it = 102; time = 61.535826; true time = 60.329241; total count = 1631592000; true count = 1599600000; count 1 = 3570000, count 2 = 1624452000, count 3 = 3570000
threads = 4; r = 7; it = 105; time = 63.496537; true time = 60.472892; total count = 1679580000; true count = 1599600000; count 1 = 4410000, count 2 = 1670760000, count 3 = 4410000
threads = 4; r = 8; it = 104; time = 63.386437; true time = 60.948498; total count = 1663584000; true count = 1599600000; count 1 = 5096000, count 2 = 1653392000, count 3 = 5096000
threads = 4; r = 9; it = 108; time = 65.222643; true time = 60.391337; total count = 1727568000; true count = 1599600000; count 1 = 6048000, count 2 = 1715472000, count 3 = 6048000
threads = 4; r = 10; it = 100; time = 60.622653; true time = 60.622653; total count = 1599600000; true count = 1599600000; count 1 = 6300000, count 2 = 1587000000, count 3 = 6300000
threads = 4; r = 11; it = 110; time = 67.939257; true time = 61.762961; total count = 1759560000; true count = 1599600000; count 1 = 7700000, count 2 = 1744160000, count 3 = 7700000
threads = 4; r = 12; it = 108; time = 64.656573; true time = 59.867197; total count = 1727568000; true count = 1599600000; count 1 = 8316000, count 2 = 1710936000, count 3 = 8316000
threads = 4; r = 13; it = 104; time = 61.998385; true time = 59.613832; total count = 1663584000; true count = 1599600000; count 1 = 8736000, count 2 = 1646112000, count 3 = 8736000
threads = 4; r = 14; it = 112; time = 68.127626; true time = 60.828238; total count = 1791552000; true count = 1599600000; count 1 = 10192000, count 2 = 1771168000, count 3 = 10192000
threads = 4; r = 15; it = 105; time = 65.256078; true time = 62.148646; total count = 1679580000; true count = 1599600000; count 1 = 10290000, count 2 = 1659000000, count 3 = 10290000
threads = 4; r = 16; it = 112; time = 70.113427; true time = 62.601274; total count = 1791552000; true count = 1599600000; count 1 = 11760000, count 2 = 1768032000, count 3 = 11760000
threads = 4; r = 17; it = 102; time = 63.893273; true time = 62.640464; total count = 1631592000; true count = 1599600000; count 1 = 11424000, count 2 = 1608744000, count 3 = 11424000
threads = 4; r = 18; it = 108; time = 67.632957; true time = 62.623108; total count = 1727568000; true count = 1599600000; count 1 = 12852000, count 2 = 1701864000, count 3 = 12852000
threads = 4; r = 19; it = 114; time = 71.324296; true time = 62.565172; total count = 1823544000; true count = 1599600000; count 1 = 14364000, count 2 = 1794816000, count 3 = 14364000
threads = 4; r = 20; it = 100; time = 62.549030; true time = 62.549030; total count = 1599600000; true count = 1599600000; count 1 = 13300000, count 2 = 1573000000, count 3 = 13300000

threads = 4; r = 1; it = 100; time = 63.182682; true time = 63.182682; total count = 1599600000; true count = 1599600000; count 1 = 0, count 2 = 1599600000, count 3 = 0
threads = 4; r = 2; it = 100; time = 62.688730; true time = 62.688730; total count = 1599600000; true count = 1599600000; count 1 = 700000, count 2 = 1598200000, count 3 = 700000
threads = 4; r = 3; it = 102; time = 63.947735; true time = 62.693858; total count = 1631592000; true count = 1599600000; count 1 = 1428000, count 2 = 1628736000, count 3 = 1428000
threads = 4; r = 4; it = 100; time = 62.937734; true time = 62.937734; total count = 1599600000; true count = 1599600000; count 1 = 2100000, count 2 = 1595400000, count 3 = 2100000
threads = 4; r = 5; it = 100; time = 62.574852; true time = 62.574852; total count = 1599600000; true count = 1599600000; count 1 = 2800000, count 2 = 1594000000, count 3 = 2800000
threads = 4; r = 6; it = 102; time = 64.093010; true time = 62.836284; total count = 1631592000; true count = 1599600000; count 1 = 3570000, count 2 = 1624452000, count 3 = 3570000
threads = 4; r = 7; it = 105; time = 65.420761; true time = 62.305487; total count = 1679580000; true count = 1599600000; count 1 = 4410000, count 2 = 1670760000, count 3 = 4410000
threads = 4; r = 8; it = 104; time = 64.265343; true time = 61.793599; total count = 1663584000; true count = 1599600000; count 1 = 5096000, count 2 = 1653392000, count 3 = 5096000
threads = 4; r = 9; it = 108; time = 67.235428; true time = 62.255026; total count = 1727568000; true count = 1599600000; count 1 = 6048000, count 2 = 1715472000, count 3 = 6048000
threads = 4; r = 10; it = 100; time = 62.386785; true time = 62.386785; total count = 1599600000; true count = 1599600000; count 1 = 6300000, count 2 = 1587000000, count 3 = 6300000
threads = 4; r = 11; it = 110; time = 68.497611; true time = 62.270556; total count = 1759560000; true count = 1599600000; count 1 = 7700000, count 2 = 1744160000, count 3 = 7700000
threads = 4; r = 12; it = 108; time = 66.929044; true time = 61.971337; total count = 1727568000; true count = 1599600000; count 1 = 8316000, count 2 = 1710936000, count 3 = 8316000
threads = 4; r = 13; it = 104; time = 64.782846; true time = 62.291198; total count = 1663584000; true count = 1599600000; count 1 = 8736000, count 2 = 1646112000, count 3 = 8736000
threads = 4; r = 14; it = 112; time = 69.606126; true time = 62.148326; total count = 1791552000; true count = 1599600000; count 1 = 10192000, count 2 = 1771168000, count 3 = 10192000
threads = 4; r = 15; it = 105; time = 65.956767; true time = 62.815968; total count = 1679580000; true count = 1599600000; count 1 = 10290000, count 2 = 1659000000, count 3 = 10290000
threads = 4; r = 16; it = 112; time = 69.974324; true time = 62.477075; total count = 1791552000; true count = 1599600000; count 1 = 11760000, count 2 = 1768032000, count 3 = 11760000
threads = 4; r = 17; it = 102; time = 63.960273; true time = 62.706150; total count = 1631592000; true count = 1599600000; count 1 = 11424000, count 2 = 1608744000, count 3 = 11424000
threads = 4; r = 18; it = 108; time = 68.174112; true time = 63.124177; total count = 1727568000; true count = 1599600000; count 1 = 12852000, count 2 = 1701864000, count 3 = 12852000
threads = 4; r = 19; it = 114; time = 74.307905; true time = 65.182373; total count = 1823544000; true count = 1599600000; count 1 = 14364000, count 2 = 1794816000, count 3 = 14364000
threads = 4; r = 20; it = 100; time = 63.009428; true time = 63.009428; total count = 1599600000; true count = 1599600000; count 1 = 13300000, count 2 = 1573000000, count 3 = 13300000

=======================================

threads = 8; r = 1; it = 100; time = 32.237661; true time = 32.237661; total count = 1599600000; true count = 1599600000; count 1 = 0, count 2 = 1599600000, count 3 = 0
threads = 8; r = 2; it = 100; time = 32.472144; true time = 32.472144; total count = 1599600000; true count = 1599600000; count 1 = 1500000, count 2 = 1596600000, count 3 = 1500000
threads = 8; r = 3; it = 102; time = 32.555000; true time = 31.916666; total count = 1631592000; true count = 1599600000; count 1 = 3060000, count 2 = 1625472000, count 3 = 3060000
threads = 8; r = 4; it = 100; time = 32.242884; true time = 32.242884; total count = 1599600000; true count = 1599600000; count 1 = 4500000, count 2 = 1590600000, count 3 = 4500000
threads = 8; r = 5; it = 100; time = 32.291897; true time = 32.291897; total count = 1599600000; true count = 1599600000; count 1 = 6000000, count 2 = 1587600000, count 3 = 6000000
threads = 8; r = 6; it = 102; time = 33.490687; true time = 32.834007; total count = 1631592000; true count = 1599600000; count 1 = 7650000, count 2 = 1616292000, count 3 = 7650000
threads = 8; r = 7; it = 105; time = 34.026192; true time = 32.405897; total count = 1679580000; true count = 1599600000; count 1 = 9450000, count 2 = 1660680000, count 3 = 9450000
threads = 8; r = 8; it = 104; time = 33.852608; true time = 32.550584; total count = 1663584000; true count = 1599600000; count 1 = 10920000, count 2 = 1641744000, count 3 = 10920000
threads = 8; r = 9; it = 108; time = 35.328881; true time = 32.711927; total count = 1727568000; true count = 1599600000; count 1 = 12960000, count 2 = 1701648000, count 3 = 12960000
threads = 8; r = 10; it = 100; time = 32.415800; true time = 32.415800; total count = 1599600000; true count = 1599600000; count 1 = 13500000, count 2 = 1572600000, count 3 = 13500000
threads = 8; r = 11; it = 110; time = 35.706091; true time = 32.460083; total count = 1759560000; true count = 1599600000; count 1 = 16500000, count 2 = 1726560000, count 3 = 16500000
threads = 8; r = 12; it = 108; time = 34.919959; true time = 32.333295; total count = 1727568000; true count = 1599600000; count 1 = 17820000, count 2 = 1691928000, count 3 = 17820000
threads = 8; r = 13; it = 104; time = 33.614836; true time = 32.321958; total count = 1663584000; true count = 1599600000; count 1 = 18720000, count 2 = 1626144000, count 3 = 18720000
threads = 8; r = 14; it = 112; time = 36.279623; true time = 32.392520; total count = 1791552000; true count = 1599600000; count 1 = 21840000, count 2 = 1747872000, count 3 = 21840000
threads = 8; r = 15; it = 105; time = 33.942695; true time = 32.326377; total count = 1679580000; true count = 1599600000; count 1 = 22050000, count 2 = 1635480000, count 3 = 22050000
threads = 8; r = 16; it = 112; time = 36.084386; true time = 32.218201; total count = 1791552000; true count = 1599600000; count 1 = 25200000, count 2 = 1741152000, count 3 = 25200000
threads = 8; r = 17; it = 102; time = 32.796756; true time = 32.153683; total count = 1631592000; true count = 1599600000; count 1 = 24480000, count 2 = 1582632000, count 3 = 24480000
threads = 8; r = 18; it = 108; time = 34.739744; true time = 32.166430; total count = 1727568000; true count = 1599600000; count 1 = 27540000, count 2 = 1672488000, count 3 = 27540000
threads = 8; r = 19; it = 114; time = 36.571266; true time = 32.080058; total count = 1823544000; true count = 1599600000; count 1 = 30780000, count 2 = 1761984000, count 3 = 30780000
threads = 8; r = 20; it = 100; time = 32.198261; true time = 32.198261; total count = 1599600000; true count = 1599600000; count 1 = 28500000, count 2 = 1542600000, count 3 = 28500000

threads = 8; r = 1; it = 100; time = 33.016996; true time = 33.016996; total count = 1599600000; true count = 1599600000; count 1 = 0, count 2 = 1599600000, count 3 = 0
threads = 8; r = 2; it = 100; time = 32.691207; true time = 32.691207; total count = 1599600000; true count = 1599600000; count 1 = 1500000, count 2 = 1596600000, count 3 = 1500000
threads = 8; r = 3; it = 102; time = 33.094832; true time = 32.445914; total count = 1631592000; true count = 1599600000; count 1 = 3060000, count 2 = 1625472000, count 3 = 3060000
threads = 8; r = 4; it = 100; time = 32.454290; true time = 32.454290; total count = 1599600000; true count = 1599600000; count 1 = 4500000, count 2 = 1590600000, count 3 = 4500000
threads = 8; r = 5; it = 100; time = 33.281168; true time = 33.281168; total count = 1599600000; true count = 1599600000; count 1 = 6000000, count 2 = 1587600000, count 3 = 6000000
threads = 8; r = 6; it = 102; time = 35.093594; true time = 34.405484; total count = 1631592000; true count = 1599600000; count 1 = 7650000, count 2 = 1616292000, count 3 = 7650000
threads = 8; r = 7; it = 105; time = 35.272780; true time = 33.593124; total count = 1679580000; true count = 1599600000; count 1 = 9450000, count 2 = 1660680000, count 3 = 9450000
threads = 8; r = 8; it = 104; time = 36.361980; true time = 34.963442; total count = 1663584000; true count = 1599600000; count 1 = 10920000, count 2 = 1641744000, count 3 = 10920000
threads = 8; r = 9; it = 108; time = 36.125558; true time = 33.449591; total count = 1727568000; true count = 1599600000; count 1 = 12960000, count 2 = 1701648000, count 3 = 12960000
threads = 8; r = 10; it = 100; time = 33.536114; true time = 33.536114; total count = 1599600000; true count = 1599600000; count 1 = 13500000, count 2 = 1572600000, count 3 = 13500000
threads = 8; r = 11; it = 110; time = 36.581940; true time = 33.256309; total count = 1759560000; true count = 1599600000; count 1 = 16500000, count 2 = 1726560000, count 3 = 16500000
threads = 8; r = 12; it = 108; time = 37.483099; true time = 34.706573; total count = 1727568000; true count = 1599600000; count 1 = 17820000, count 2 = 1691928000, count 3 = 17820000
threads = 8; r = 13; it = 104; time = 34.508534; true time = 33.181283; total count = 1663584000; true count = 1599600000; count 1 = 18720000, count 2 = 1626144000, count 3 = 18720000
threads = 8; r = 14; it = 112; time = 40.217514; true time = 35.908495; total count = 1791552000; true count = 1599600000; count 1 = 21840000, count 2 = 1747872000, count 3 = 21840000
threads = 8; r = 15; it = 105; time = 34.717296; true time = 33.064092; total count = 1679580000; true count = 1599600000; count 1 = 22050000, count 2 = 1635480000, count 3 = 22050000
threads = 8; r = 16; it = 112; time = 37.388967; true time = 33.383007; total count = 1791552000; true count = 1599600000; count 1 = 25200000, count 2 = 1741152000, count 3 = 25200000
threads = 8; r = 17; it = 102; time = 33.930920; true time = 33.265608; total count = 1631592000; true count = 1599600000; count 1 = 24480000, count 2 = 1582632000, count 3 = 24480000
threads = 8; r = 18; it = 108; time = 35.236418; true time = 32.626313; total count = 1727568000; true count = 1599600000; count 1 = 27540000, count 2 = 1672488000, count 3 = 27540000
threads = 8; r = 19; it = 114; time = 36.985163; true time = 32.443126; total count = 1823544000; true count = 1599600000; count 1 = 30780000, count 2 = 1761984000, count 3 = 30780000
threads = 8; r = 20; it = 100; time = 32.486711; true time = 32.486711; total count = 1599600000; true count = 1599600000; count 1 = 28500000, count 2 = 1542600000, count 3 = 28500000

=======================================

